,Title,Price,Ratings,URL
17,"Ajin: Demi-Human, Volume 1 ...",57.06,4,https://books.toscrape.com//media/cache/09/7c/097cb5ecc6fb3fbe1690cf0cbdea4ac5.jpg
16,Alice in Wonderland (Alice's ...,55.53,1,https://books.toscrape.com//media/cache/96/ee/96ee77d71a31b7694dac6855f6affe4e.jpg
19,1st to Die (Women's ...,53.98,1,https://books.toscrape.com//media/cache/2b/41/2b4161c5b72a4ae386b644682361b34a.jpg
5,"Eat, Pray, Love",51.32,3,https://books.toscrape.com//media/cache/21/95/2195c296e82620593a143356aeaa7745.jpg
6,Deep Under (Walker Security ...,47.09,5,https://books.toscrape.com//media/cache/74/e4/74e4ec43c40926c7b57fc0fe0f397183.jpg
15,Beyond Good and Evil,43.38,1,https://books.toscrape.com//media/cache/ab/45/ab45f300aa15066ad1260d6f1398d03e.jpg
9,Charity's Cross (Charles Towne ...,41.24,1,https://books.toscrape.com//media/cache/39/e0/39e008f84bbd24b49a7532c2024b855e.jpg
3,Fighting Fate (Fighting #6),39.24,3,https://books.toscrape.com//media/cache/57/e2/57e255929f6e597c18cb3843904cd92b.jpg
10,Bright Lines,39.07,5,https://books.toscrape.com//media/cache/12/43/1243e7eb614f57f0e4cfee80553fa312.jpg
1,Frankenstein,38.0,2,https://books.toscrape.com//media/cache/00/25/0025515e987a1ebd648773f9ac70bfe6.jpg
12,Bounty (Colorado Mountain #7),37.26,4,https://books.toscrape.com//media/cache/80/ff/80ff924ed78cd7c5172410d0d92f8dfe.jpg
14,"Bleach, Vol. 1: Strawberry ...",34.65,5,https://books.toscrape.com//media/cache/a8/38/a8383903c98af18b898b9d70d5be2c16.jpg
4,Emma,32.93,2,https://books.toscrape.com//media/cache/09/63/09638baaef52f03827c215029c632a13.jpg
11,Bridget Jones's Diary (Bridget ...,29.82,1,https://books.toscrape.com//media/cache/0c/32/0c329cbd2adf4e0dc825f892106673b2.jpg
2,Forever Rockers (The Rocker ...,28.8,3,https://books.toscrape.com//media/cache/7f/b0/7fb03a053c270000667a50dd8d594843.jpg
7,Choosing Our Religion: The ...,28.42,4,https://books.toscrape.com//media/cache/df/ab/dfabeab158046237ddb6b713b794909f.jpg
20,"1,000 Places to See ...",26.08,5,https://books.toscrape.com//media/cache/d7/0f/d70f7edd92705c45a82118c3ff6c299d.jpg
8,Charlie and the Chocolate ...,22.85,3,https://books.toscrape.com//media/cache/d6/cc/d6cc0c66e34dfc214b406208bbaf18e2.jpg
13,Blood Defense (Samantha Brinkman ...,20.3,3,https://books.toscrape.com//media/cache/cb/f6/cbf6d4b61953f29d7eedd2c9e01a9d74.jpg
18,A Spy's Devotion (The ...,16.97,5,https://books.toscrape.com//media/cache/1b/5f/1b5ff86f3c75e51e24c573d3f8bffd8f.jpg
